user_id,nickname,family_uuid,access_token,refresh_token,refresh_token_hash,issued_at,access_expires_at,refresh_expires_at
1,lt_user_001,64cdb756-45d8-45e4-a43a-aa4d5772db30,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiI4MmY3YTQyYi1iMzFmLTRmMWQtOTVmNy01Y2YwZDdkNDY4M2IiLCJzdWIiOiIxIiwidXNlcklkIjoxLCJuaWNrbmFtZSI6Imx0X3VzZXJfMDAxIiwidHlwZSI6IkFDQ0VTUyIsImlzcyI6IlFGZWVkIiwiaWF0IjoxNzcyMTE5NzgxLCJleHAiOjE3NzIxNDEzODEsInJvbGVzIjpbIlJPTEVfVVNFUiJdfQ.B5wSCCm9LsQWAKSjkHQTbyIG_i3kLdi5yxi7bfJNqwA,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiIwN2I0ZWYzMC1lY2JmLTQzMzUtOWZmNy1kYzlhZjcwZDNjZjQiLCJzdWIiOiIxIiwidXNlcklkIjoxLCJuaWNrbmFtZSI6Imx0X3VzZXJfMDAxIiwidHlwZSI6IlJFRlJFU0giLCJpc3MiOiJRRmVlZCIsImlhdCI6MTc3MjExOTc4MSwiZXhwIjoxNzczMzI5MzgxLCJmYW1pbHlVdWlkIjoiNjRjZGI3NTYtNDVkOC00NWU0LWE0M2EtYWE0ZDU3NzJkYjMwIn0.eH1aOJvZSeqC2DuwX6xuvV6FZzp-rDiHA3tCoFMV7Ok,b7CB3v+LxdeyaPWMj/z2Zir927tflwUxfSsFltK7lww=,2026-02-26 15:29:41,2026-02-26 21:29:41,2026-03-12 15:29:41
2,lt_user_002,72bb6cde-c88a-478c-ae83-8216f3352782,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiI4NDAwZjdmYi1hMTdhLTQ0OTctODA2Yy04NjdmYzdkNDNmMGYiLCJzdWIiOiIyIiwidXNlcklkIjoyLCJuaWNrbmFtZSI6Imx0X3VzZXJfMDAyIiwidHlwZSI6IkFDQ0VTUyIsImlzcyI6IlFGZWVkIiwiaWF0IjoxNzcyMTE5NzgxLCJleHAiOjE3NzIxNDEzODEsInJvbGVzIjpbIlJPTEVfVVNFUiJdfQ.QwXBs1IZoLQIHf-nJIQ5hSRlLju-CJ-LnIU4DeqqoNA,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiIzMTkwNDhkMS0zOGI1LTRhMmQtYmRjYS0wMmI4NzAyOGI2MTAiLCJzdWIiOiIyIiwidXNlcklkIjoyLCJuaWNrbmFtZSI6Imx0X3VzZXJfMDAyIiwidHlwZSI6IlJFRlJFU0giLCJpc3MiOiJRRmVlZCIsImlhdCI6MTc3MjExOTc4MSwiZXhwIjoxNzczMzI5MzgxLCJmYW1pbHlVdWlkIjoiNzJiYjZjZGUtYzg4YS00NzhjLWFlODMtODIxNmYzMzUyNzgyIn0.JXu-ccHnXxALQsxwmB-CS4sNYKThvsWK6NE88PMfvkc,kKohcXMxKhK/wn00Pv1YhtU/LtHHqG9mZ5VZZYVStNw=,2026-02-26 15:29:41,2026-02-26 21:29:41,2026-03-12 15:29:41
3,lt_user_003,9d66a4db-dbc4-4838-8a89-1aaf05db3ae7,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiI1Mzg3NjZjZS04NDJmLTRjOTktYjMwNC0yODFiM2Q4MmFkNTkiLCJzdWIiOiIzIiwidXNlcklkIjozLCJuaWNrbmFtZSI6Imx0X3VzZXJfMDAzIiwidHlwZSI6IkFDQ0VTUyIsImlzcyI6IlFGZWVkIiwiaWF0IjoxNzcyMTE5NzgxLCJleHAiOjE3NzIxNDEzODEsInJvbGVzIjpbIlJPTEVfVVNFUiJdfQ.n4MeYKI9-goz_lBx07iFvNuKCLG8D0Ya6lAiL5xLuhQ,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiIyNjA0Nzk4OC1kZmU1LTQ0ODYtYWNlMy1jZjZjM2QwYzUxODQiLCJzdWIiOiIzIiwidXNlcklkIjozLCJuaWNrbmFtZSI6Imx0X3VzZXJfMDAzIiwidHlwZSI6IlJFRlJFU0giLCJpc3MiOiJRRmVlZCIsImlhdCI6MTc3MjExOTc4MSwiZXhwIjoxNzczMzI5MzgxLCJmYW1pbHlVdWlkIjoiOWQ2NmE0ZGItZGJjNC00ODM4LThhODktMWFhZjA1ZGIzYWU3In0._kN6Bt9YKkkWEr0oiJ4Ow0y8mWZFW-BczOtUQ3-yTw4,PTpWmnTGMlZtxtS8rwsq0+GfE/+vhroNRDBfWzUeUbY=,2026-02-26 15:29:41,2026-02-26 21:29:41,2026-03-12 15:29:41
4,lt_user_004,d6a28ee3-adf6-4e41-b042-3f799e5f97ec,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiI3MTM5Y2UzMi02MmIyLTRmODYtODRmYS1jNWE5ZTlmMzE2NjMiLCJzdWIiOiI0IiwidXNlcklkIjo0LCJuaWNrbmFtZSI6Imx0X3VzZXJfMDA0IiwidHlwZSI6IkFDQ0VTUyIsImlzcyI6IlFGZWVkIiwiaWF0IjoxNzcyMTE5NzgxLCJleHAiOjE3NzIxNDEzODEsInJvbGVzIjpbIlJPTEVfVVNFUiJdfQ.vBTCJzDklmyqs7bEPPhnTDoA0i8poH2-z53T8Lm1SuA,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiJhY2Y0NjlmOS0xN2YyLTRlNDAtOTU4NS1iOThlOTk2NGZjM2QiLCJzdWIiOiI0IiwidXNlcklkIjo0LCJuaWNrbmFtZSI6Imx0X3VzZXJfMDA0IiwidHlwZSI6IlJFRlJFU0giLCJpc3MiOiJRRmVlZCIsImlhdCI6MTc3MjExOTc4MSwiZXhwIjoxNzczMzI5MzgxLCJmYW1pbHlVdWlkIjoiZDZhMjhlZTMtYWRmNi00ZTQxLWIwNDItM2Y3OTllNWY5N2VjIn0.Xo5fdJGuSDkFpz5gyzL7y4Y0qBFMNL_HK2xg_0EtQK0,CTxHO50px3EMXhWtL2Au3jWXxV5hJ7zZmahFftux/fg=,2026-02-26 15:29:41,2026-02-26 21:29:41,2026-03-12 15:29:41
5,lt_user_005,d115ef1a-436b-421c-a7ef-03b8317a7157,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiIyYjZlY2JhNS00OTc5LTRiZDktODQ2NC05ZWY4ZGVhMTUzMDgiLCJzdWIiOiI1IiwidXNlcklkIjo1LCJuaWNrbmFtZSI6Imx0X3VzZXJfMDA1IiwidHlwZSI6IkFDQ0VTUyIsImlzcyI6IlFGZWVkIiwiaWF0IjoxNzcyMTE5NzgxLCJleHAiOjE3NzIxNDEzODEsInJvbGVzIjpbIlJPTEVfVVNFUiJdfQ.kT4FUsC7sTDRzxVNk0mLYAEanCfV6vOueIolgWIAeOY,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiJkYWU4Mjc3MC05ZDU2LTRhYzEtODQ5ZC0xMmU3NzIzNDRkM2IiLCJzdWIiOiI1IiwidXNlcklkIjo1LCJuaWNrbmFtZSI6Imx0X3VzZXJfMDA1IiwidHlwZSI6IlJFRlJFU0giLCJpc3MiOiJRRmVlZCIsImlhdCI6MTc3MjExOTc4MSwiZXhwIjoxNzczMzI5MzgxLCJmYW1pbHlVdWlkIjoiZDExNWVmMWEtNDM2Yi00MjFjLWE3ZWYtMDNiODMxN2E3MTU3In0.1eipfy2m1WrlZ-Oc39wDbp8FW0iEz0_7y78MR1C4-yc,9NE1VqeqRsONH9Nw5jPZe2HHe2s5pSBPSbFNxLvoeY0=,2026-02-26 15:29:41,2026-02-26 21:29:41,2026-03-12 15:29:41
6,lt_user_006,8a5f6260-7899-491c-877b-c04156d7e141,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiJkNjcyN2NkZS05MjdmLTQyMGMtODQ3Yy02N2Y0ZGVhMzM0ZWUiLCJzdWIiOiI2IiwidXNlcklkIjo2LCJuaWNrbmFtZSI6Imx0X3VzZXJfMDA2IiwidHlwZSI6IkFDQ0VTUyIsImlzcyI6IlFGZWVkIiwiaWF0IjoxNzcyMTE5NzgxLCJleHAiOjE3NzIxNDEzODEsInJvbGVzIjpbIlJPTEVfVVNFUiJdfQ.qGTJcsoRw-WhdnV54cKLRRvXd-PgBXNNfCko6INUsbs,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiIyNGE4ZDNkOC0wODdhLTQ2YWUtYWM5ZS1lNDg4ODA2OWQ5OTQiLCJzdWIiOiI2IiwidXNlcklkIjo2LCJuaWNrbmFtZSI6Imx0X3VzZXJfMDA2IiwidHlwZSI6IlJFRlJFU0giLCJpc3MiOiJRRmVlZCIsImlhdCI6MTc3MjExOTc4MSwiZXhwIjoxNzczMzI5MzgxLCJmYW1pbHlVdWlkIjoiOGE1ZjYyNjAtNzg5OS00OTFjLTg3N2ItYzA0MTU2ZDdlMTQxIn0.quWiUNjVeSdNNsjKFuMU_vtnF8oFya0uOYvfryVxGkg,LqE7EjIoBfJMM4Bs9nFkqyrREzEuVGcLq3bYfpwKqo0=,2026-02-26 15:29:41,2026-02-26 21:29:41,2026-03-12 15:29:41
7,lt_user_007,3df28f44-2fd8-4d22-87f1-d8c09fa0b8e8,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiJkMDE2Y2VmNC04NGI0LTQxNzUtYjRlOS05OTBlMDQyNzM4NzEiLCJzdWIiOiI3IiwidXNlcklkIjo3LCJuaWNrbmFtZSI6Imx0X3VzZXJfMDA3IiwidHlwZSI6IkFDQ0VTUyIsImlzcyI6IlFGZWVkIiwiaWF0IjoxNzcyMTE5NzgxLCJleHAiOjE3NzIxNDEzODEsInJvbGVzIjpbIlJPTEVfVVNFUiJdfQ.yYldsHbA6JPOxVZv6MCqceI6vPP2V39nT6XBJ1nlpjg,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiJkMjIyOGNmZS0yYmQ0LTRlNjQtODZjMi1jYTA0NjdmYzcxOTciLCJzdWIiOiI3IiwidXNlcklkIjo3LCJuaWNrbmFtZSI6Imx0X3VzZXJfMDA3IiwidHlwZSI6IlJFRlJFU0giLCJpc3MiOiJRRmVlZCIsImlhdCI6MTc3MjExOTc4MSwiZXhwIjoxNzczMzI5MzgxLCJmYW1pbHlVdWlkIjoiM2RmMjhmNDQtMmZkOC00ZDIyLTg3ZjEtZDhjMDlmYTBiOGU4In0.F_PYS9N-d_emV1Y1JwOQw8It69iX2fxsaNbvFO2AWXg,wHz22+f+XUejO9/WESaiYsWYOUYyZqUE0N1IWeQVO4g=,2026-02-26 15:29:41,2026-02-26 21:29:41,2026-03-12 15:29:41
8,lt_user_008,3eff5f95-3b6a-4f71-8dd3-7fdb16e69bcd,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiI1YTI2YjJjZS0wNmU5LTQ3NDUtOTQzMS02ZmY1N2EwOTViZDIiLCJzdWIiOiI4IiwidXNlcklkIjo4LCJuaWNrbmFtZSI6Imx0X3VzZXJfMDA4IiwidHlwZSI6IkFDQ0VTUyIsImlzcyI6IlFGZWVkIiwiaWF0IjoxNzcyMTE5NzgxLCJleHAiOjE3NzIxNDEzODEsInJvbGVzIjpbIlJPTEVfVVNFUiJdfQ.laSYZj9Igpp9XefftQU9gimXPLbqf4RGrwOoppFNCfo,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiI5NThmYTFhZi04NGRmLTQ3NjEtOGI2OC1kZTFjNjc5YWU2OTIiLCJzdWIiOiI4IiwidXNlcklkIjo4LCJuaWNrbmFtZSI6Imx0X3VzZXJfMDA4IiwidHlwZSI6IlJFRlJFU0giLCJpc3MiOiJRRmVlZCIsImlhdCI6MTc3MjExOTc4MSwiZXhwIjoxNzczMzI5MzgxLCJmYW1pbHlVdWlkIjoiM2VmZjVmOTUtM2I2YS00ZjcxLThkZDMtN2ZkYjE2ZTY5YmNkIn0.oJqgAC4Igs-fWGqcgC0gU0y8kotwMS1h4CghKa6ZfzM,jmXr7N7QrQKNFYt3/E3ITfJzXeekyv33Bg72KoPpZaw=,2026-02-26 15:29:41,2026-02-26 21:29:41,2026-03-12 15:29:41
9,lt_user_009,a01de329-e367-4d03-967e-88761aa87421,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiIwZDhmOTNhNS1jZTg1LTQxZGItYWEwNC1iYWJiNjc2ZmJmMmEiLCJzdWIiOiI5IiwidXNlcklkIjo5LCJuaWNrbmFtZSI6Imx0X3VzZXJfMDA5IiwidHlwZSI6IkFDQ0VTUyIsImlzcyI6IlFGZWVkIiwiaWF0IjoxNzcyMTE5NzgxLCJleHAiOjE3NzIxNDEzODEsInJvbGVzIjpbIlJPTEVfVVNFUiJdfQ.aRMKPX_bax1oGoxYMFB5l0DtYk3WCo-pJUGMlXnWxFc,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiJkNDBlMTBjMy0xYTYzLTQ5ZTYtOTc4Yy1kYWE3NWY4MzgxODIiLCJzdWIiOiI5IiwidXNlcklkIjo5LCJuaWNrbmFtZSI6Imx0X3VzZXJfMDA5IiwidHlwZSI6IlJFRlJFU0giLCJpc3MiOiJRRmVlZCIsImlhdCI6MTc3MjExOTc4MSwiZXhwIjoxNzczMzI5MzgxLCJmYW1pbHlVdWlkIjoiYTAxZGUzMjktZTM2Ny00ZDAzLTk2N2UtODg3NjFhYTg3NDIxIn0.bfH7T7aFPx8kgYTauGnytJzAuZfJUDYLBs8z2Q48lqM,3R7NjDcUOJSqgrHS17rMInDs+yMFGd6Glexlr1jm1bI=,2026-02-26 15:29:41,2026-02-26 21:29:41,2026-03-12 15:29:41
10,lt_user_010,f70a616d-1577-4d24-a6dd-f56ec36fc0e8,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiJlY2VmYmZjNS0xOTczLTQ4ZmMtYmEyOC1kODQ1YTEwZmYxZmEiLCJzdWIiOiIxMCIsInVzZXJJZCI6MTAsIm5pY2tuYW1lIjoibHRfdXNlcl8wMTAiLCJ0eXBlIjoiQUNDRVNTIiwiaXNzIjoiUUZlZWQiLCJpYXQiOjE3NzIxMTk3ODEsImV4cCI6MTc3MjE0MTM4MSwicm9sZXMiOlsiUk9MRV9VU0VSIl19.DR4vNRM77mls37VSK0AiuvwLPHpLQH8D_k9g921Ti5k,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiJhMmU3NGQxMS01NGRmLTQ4ZjItYjAyNS0xMzA4ZWI2NDVhZjMiLCJzdWIiOiIxMCIsInVzZXJJZCI6MTAsIm5pY2tuYW1lIjoibHRfdXNlcl8wMTAiLCJ0eXBlIjoiUkVGUkVTSCIsImlzcyI6IlFGZWVkIiwiaWF0IjoxNzcyMTE5NzgxLCJleHAiOjE3NzMzMjkzODEsImZhbWlseVV1aWQiOiJmNzBhNjE2ZC0xNTc3LTRkMjQtYTZkZC1mNTZlYzM2ZmMwZTgifQ.6mWdhI8Qi_yGEgQORwU4dElp7KSvcnHbGkrc7BRiUxU,Z2TW5fzLjWlJzrlig9E2BBosHlVqIXiBNk+Kg2Hoqgg=,2026-02-26 15:29:41,2026-02-26 21:29:41,2026-03-12 15:29:41
